t=2025-09-17T21:28:13-0500 lvl=info msg="no configuration paths supplied"
t=2025-09-17T21:28:13-0500 lvl=info msg="using configuration at default config path" path="/Users/sagarrudagi/Library/Application Support/ngrok/ngrok.yml"
t=2025-09-17T21:28:13-0500 lvl=info msg="open config file" path="/Users/sagarrudagi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-09-17T21:28:13-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-09-17T21:28:14-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-09-17T21:28:14-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-09-17T21:28:14-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8501 url=https://3f2d9e2d0987.ngrok-free.app
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=9066b5048525 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=d4e8920ccb9b l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=bb6bdd704879 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=52ec678e6303 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=632311a6d639 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=c7b5d9e61d45 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=0cda8a6e7a5c l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=24a780cbdfaa l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=518f72c1c51c l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:17-0500 lvl=info msg="join connections" obj=join id=8c44cccc7ff9 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61252
t=2025-09-17T21:30:18-0500 lvl=info msg="join connections" obj=join id=6b3b31565610 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61274
t=2025-09-17T21:30:18-0500 lvl=info msg="join connections" obj=join id=74a1bb371988 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61278
t=2025-09-17T21:30:18-0500 lvl=info msg="join connections" obj=join id=74b93e9a8715 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61278
t=2025-09-17T21:30:18-0500 lvl=info msg="join connections" obj=join id=08938e69f643 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61278
t=2025-09-17T21:30:18-0500 lvl=info msg="join connections" obj=join id=795ef4ead471 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61278
t=2025-09-17T21:30:19-0500 lvl=info msg="join connections" obj=join id=cdfc91749e75 l=127.0.0.1:8501 r=[2600:1700:e61:7020:dcf4:995c:6290:a5b0]:61278
